,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,100,NZ,1566702497,96,-46.19,168.86,48.0,4.0
1,Karibib,0,NA,1566702498,23,-21.94,15.86,56.55,8.1
2,Vaini,40,IN,1566702499,94,15.34,74.49,69.8,6.93
3,Jamestown,90,AU,1566702356,58,-33.21,138.6,49.51,7.43
4,San Miguel de Cauri,100,PE,1566702502,97,-10.1,-76.58,33.99,3.2
5,Altay,0,CN,1566702503,39,47.83,88.13,57.97,4.34
6,Weston,20,US,1566702504,87,41.2,-73.38,68.0,4.7
7,Vardo,1,US,1566702505,72,39.62,-77.74,66.0,3.56
8,Pisco,90,PE,1566702507,82,-13.71,-76.2,60.8,10.29
9,Airai,0,TL,1566702508,47,-8.93,125.41,82.29,6.2
10,Busselton,0,AU,1566702509,72,-33.64,115.35,57.99,8.3
11,Punta Arenas,0,CL,1566702510,75,-53.16,-70.91,41.0,12.75
12,Palmer,75,AU,1566702512,62,-34.85,139.16,57.99,12.75
13,Nome,1,US,1566702513,88,30.04,-94.42,82.99,5.82
14,Kahului,40,US,1566702242,55,20.89,-156.47,89.6,18.34
15,Hithadhoo,100,MV,1566702515,72,-0.6,73.08,82.49,11.27
16,Bluff,4,AU,1566702516,40,-23.58,149.07,72.46,2.98
17,Harbin,75,CN,1566702518,73,45.77,126.62,73.4,4.47
18,Nikolskoye,29,RU,1566702519,93,59.7,30.79,53.01,6.71
19,Ugoofaaru,80,MV,1566702520,77,5.67,73.0,82.22,15.46
20,Sabha,0,LY,1566702521,36,27.03,14.43,76.31,8.86
21,Kalmunai,99,LK,1566702522,52,7.42,81.82,86.03,2.86
22,Cape Town,40,ZA,1566702449,93,-33.93,18.42,57.99,8.05
23,Albany,75,US,1566702525,63,42.65,-73.75,66.2,6.93
24,Sovetskoye,0,RU,1566702526,55,51.44,46.74,63.0,1.99
25,Bogorodskoye,100,RU,1566702527,73,52.37,140.44,54.1,4.41
26,Hermanus,1,ZA,1566702528,83,-34.42,19.24,55.99,7.0
27,Padang,100,ID,1566702530,80,-0.92,100.36,80.07,13.11
28,Klaksvik,34,FO,1566702531,93,62.23,-6.59,51.8,17.22
29,Kaitangata,100,NZ,1566702532,74,-46.28,169.85,50.0,5.99
